initial_alias,converted_alias,name,description,namespace
3033,ENSG00000138796,HADH,hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799],ENTREZGENE_ACC
27235,ENSG00000173085,COQ2,"coenzyme Q2, polyprenyltransferase [Source:HGNC Symbol;Acc:HGNC:25223]",ENTREZGENE_ACC
3081,ENSG00000113924,HGD,"homogentisate 1,2-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4892]",ENTREZGENE_ACC
11112,ENSG00000106049,HIBADH,3-hydroxyisobutyrate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4907],ENTREZGENE_ACC
3034,ENSG00000084110,HAL,histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806],ENTREZGENE_ACC
3067,ENSG00000140287,HDC,histidine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4855],ENTREZGENE_ACC
8942,ENSG00000115919,KYNU,kynureninase [Source:HGNC Symbol;Acc:HGNC:6469],ENTREZGENE_ACC
3145,ENSG00000256269,HMBS,hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982],ENTREZGENE_ACC
3156,ENSG00000113161,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006],ENTREZGENE_ACC
3157,ENSG00000112972,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007],ENTREZGENE_ACC
3158,ENSG00000134240,HMGCS2,3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008],ENTREZGENE_ACC
54511,ENSG00000146151,HMGCLL1,3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1 [Source:HGNC Symbol;Acc:HGNC:21359],ENTREZGENE_ACC
3155,ENSG00000117305,HMGCL,3-hydroxy-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005],ENTREZGENE_ACC
3162,ENSG00000100292,HMOX1,heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013],ENTREZGENE_ACC
3163,ENSG00000103415,HMOX2,heme oxygenase 2 [Source:HGNC Symbol;Acc:HGNC:5014],ENTREZGENE_ACC
26062,None,None,None,
6448,ENSG00000181523,SGSH,N-sulfoglucosamine sulfohydrolase [Source:HGNC Symbol;Acc:HGNC:10818],ENTREZGENE_ACC
3290,ENSG00000117594,HSD11B1,hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208],ENTREZGENE_ACC
3291,ENSG00000176387,HSD11B2,hydroxysteroid 11-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5209],ENTREZGENE_ACC
3292,ENSG00000108786,HSD17B1,hydroxysteroid 17-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5210],ENTREZGENE_ACC
7923,ENSG00000204228,HSD17B8,hydroxysteroid 17-beta dehydrogenase 8 [Source:HGNC Symbol;Acc:HGNC:3554],ENTREZGENE_ACC
3294,ENSG00000086696,HSD17B2,hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211],ENTREZGENE_ACC
3293,ENSG00000130948,HSD17B3,hydroxysteroid 17-beta dehydrogenase 3 [Source:HGNC Symbol;Acc:HGNC:5212],ENTREZGENE_ACC
51478,ENSG00000132196,HSD17B7,hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215],ENTREZGENE_ACC
3283,ENSG00000203857,HSD3B1,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5217]",ENTREZGENE_ACC
3284,ENSG00000203859,HSD3B2,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2 [Source:HGNC Symbol;Acc:HGNC:5218]",ENTREZGENE_ACC
80270,ENSG00000099377,HSD3B7,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]",ENTREZGENE_ACC
7350,ENSG00000109424,UCP1,uncoupling protein 1 [Source:HGNC Symbol;Acc:HGNC:12517],ENTREZGENE_ACC
7351,ENSG00000175567,UCP2,uncoupling protein 2 [Source:HGNC Symbol;Acc:HGNC:12518],ENTREZGENE_ACC
7352,ENSG00000175564,UCP3,uncoupling protein 3 [Source:HGNC Symbol;Acc:HGNC:12519],ENTREZGENE_ACC
9016,ENSG00000102078,SLC25A14,solute carrier family 25 member 14 [Source:HGNC Symbol;Acc:HGNC:10984],ENTREZGENE_ACC
9481,ENSG00000153291,SLC25A27,solute carrier family 25 member 27 [Source:HGNC Symbol;Acc:HGNC:21065],ENTREZGENE_ACC
57026,ENSG00000241360,PDXP,pyridoxal phosphatase [Source:HGNC Symbol;Acc:HGNC:30259],ENTREZGENE_ACC
7173,ENSG00000115705,TPO,thyroid peroxidase [Source:HGNC Symbol;Acc:HGNC:12015],ENTREZGENE_ACC
3425,ENSG00000127415,IDUA,alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391],ENTREZGENE_ACC
586,ENSG00000060982,BCAT1,branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976],ENTREZGENE_ACC
587,ENSG00000105552,BCAT2,branched chain amino acid transaminase 2 [Source:HGNC Symbol;Acc:HGNC:977],ENTREZGENE_ACC
3614,ENSG00000106348,IMPDH1,inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052],ENTREZGENE_ACC
3615,ENSG00000178035,IMPDH2,inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053],ENTREZGENE_ACC
3422,ENSG00000067064,IDI1,isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387],ENTREZGENE_ACC
91734,ENSG00000148377,IDI2,isopentenyl-diphosphate delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:23487],ENTREZGENE_ACC
144193,ENSG00000139344,AMDHD1,amidohydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28577],ENTREZGENE_ACC
23315,ENSG00000197818,SLC9A8,solute carrier family 9 member A8 [Source:HGNC Symbol;Acc:HGNC:20728],ENTREZGENE_ACC
84679,ENSG00000065923,SLC9A7,solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123],ENTREZGENE_ACC
8564,ENSG00000117009,KMO,kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381],ENTREZGENE_ACC
366,ENSG00000103569,AQP9,aquaporin 9 [Source:HGNC Symbol;Acc:HGNC:643],ENTREZGENE_ACC
3938,ENSG00000115850,LCT,lactase [Source:HGNC Symbol;Acc:HGNC:6530],ENTREZGENE_ACC
11283,ENSG00000186526,CYP4F8,cytochrome P450 family 4 subfamily F member 8 [Source:HGNC Symbol;Acc:HGNC:2648],ENTREZGENE_ACC
4047,ENSG00000160285,LSS,lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708],ENTREZGENE_ACC
1178,ENSG00000105205,CLC,Charcot-Leyden crystal galectin [Source:HGNC Symbol;Acc:HGNC:2014],ENTREZGENE_ACC
29124,ENSG00000105198,LGALS13,galectin 13 [Source:HGNC Symbol;Acc:HGNC:15449],ENTREZGENE_ACC
5321,ENSG00000116711,PLA2G4A,phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035],ENTREZGENE_ACC
51268,ENSG00000179761,PIPOX,pipecolic acid and sarcosine oxidase [Source:HGNC Symbol;Acc:HGNC:17804],ENTREZGENE_ACC
1056,ENSG00000170835,CEL,carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848],ENTREZGENE_ACC
3990,ENSG00000166035,LIPC,"lipase C, hepatic type [Source:HGNC Symbol;Acc:HGNC:6619]",ENTREZGENE_ACC
4023,ENSG00000175445,LPL,lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677],ENTREZGENE_ACC
80339,ENSG00000100344,PNPLA3,patatin like phospholipase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18590],ENTREZGENE_ACC
11343,ENSG00000074416,MGLL,monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038],ENTREZGENE_ACC
9227,ENSG00000121207,LRAT,lecithin retinol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6685],ENTREZGENE_ACC
6309,ENSG00000109929,SC5D,sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547],ENTREZGENE_ACC
4048,ENSG00000111144,LTA4H,leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710],ENTREZGENE_ACC
4056,ENSG00000213316,LTC4S,leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719],ENTREZGENE_ACC
4258,ENSG00000085871,MGST2,microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:7063],ENTREZGENE_ACC
4259,ENSG00000143198,MGST3,microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064],ENTREZGENE_ACC
10919,ENSG00000204371,EHMT2,euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129],ENTREZGENE_ACC
387893,ENSG00000183955,KMT5A,lysine methyltransferase 5A [Source:HGNC Symbol;Acc:HGNC:29489],ENTREZGENE_ACC
58508,ENSG00000055609,KMT2C,lysine methyltransferase 2C [Source:HGNC Symbol;Acc:HGNC:13726],ENTREZGENE_ACC
6839,ENSG00000101945,SUV39H1,SUV39H1 histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:11479],ENTREZGENE_ACC
79723,ENSG00000152455,SUV39H2,SUV39H2 histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:17287],ENTREZGENE_ACC
79813,ENSG00000181090,EHMT1,euchromatic histone lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24650],ENTREZGENE_ACC
80854,ENSG00000145391,SETD7,"SET domain containing 7, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:30412]",ENTREZGENE_ACC
83852,ENSG00000136169,SETDB2,SET domain bifurcated histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:20263],ENTREZGENE_ACC
84444,ENSG00000104885,DOT1L,DOT1 like histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:24948],ENTREZGENE_ACC
9869,ENSG00000143379,SETDB1,SET domain bifurcated histone lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10761],ENTREZGENE_ACC
4122,ENSG00000196547,MAN2A2,mannosidase alpha class 2A member 2 [Source:HGNC Symbol;Acc:HGNC:6825],ENTREZGENE_ACC
4124,ENSG00000112893,MAN2A1,mannosidase alpha class 2A member 1 [Source:HGNC Symbol;Acc:HGNC:6824],ENTREZGENE_ACC
4245,ENSG00000131446,MGAT1,"alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]",ENTREZGENE_ACC
11282,ENSG00000161013,MGAT4B,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B [Source:HGNC Symbol;Acc:HGNC:7048]",ENTREZGENE_ACC
11320,ENSG00000071073,MGAT4A,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]",ENTREZGENE_ACC
4248,ENSG00000128268,MGAT3,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7046]",ENTREZGENE_ACC
4249,ENSG00000152127,MGAT5,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7049]",ENTREZGENE_ACC
4247,ENSG00000168282,MGAT2,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7045]",ENTREZGENE_ACC
2954,ENSG00000100577,GSTZ1,glutathione S-transferase zeta 1 [Source:HGNC Symbol;Acc:HGNC:4643],ENTREZGENE_ACC
11253,ENSG00000177239,MAN1B1,mannosidase alpha class 1B member 1 [Source:HGNC Symbol;Acc:HGNC:6823],ENTREZGENE_ACC
56922,ENSG00000078070,MCCC1,methylcrotonyl-CoA carboxylase subunit 1 [Source:HGNC Symbol;Acc:HGNC:6936],ENTREZGENE_ACC
64087,ENSG00000131844,MCCC2,methylcrotonyl-CoA carboxylase subunit 2 [Source:HGNC Symbol;Acc:HGNC:6937],ENTREZGENE_ACC
23417,ENSG00000103150,MLYCD,malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150],ENTREZGENE_ACC
27349,ENSG00000100294,MCAT,malonyl-CoA-acyl carrier protein transacylase [Source:HGNC Symbol;Acc:HGNC:29622],ENTREZGENE_ACC
4357,ENSG00000128309,MPST,mercaptopyruvate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:7223],ENTREZGENE_ACC
1543,ENSG00000140465,CYP1A1,cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595],ENTREZGENE_ACC
1544,ENSG00000140505,CYP1A2,cytochrome P450 family 1 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:2596],ENTREZGENE_ACC
1545,ENSG00000138061,CYP1B1,cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597],ENTREZGENE_ACC
1557,ENSG00000165841,CYP2C19,cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621],ENTREZGENE_ACC
27430,ENSG00000038274,MAT2B,methionine adenosyltransferase 2 non-catalytic beta subunit [Source:HGNC Symbol;Acc:HGNC:6905],ENTREZGENE_ACC
4143,ENSG00000151224,MAT1A,methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903],ENTREZGENE_ACC
4144,ENSG00000168906,MAT2A,methionine adenosyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:6904],ENTREZGENE_ACC
4548,ENSG00000116984,MTR,5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468],ENTREZGENE_ACC
4598,ENSG00000110921,MVK,mevalonate kinase [Source:HGNC Symbol;Acc:HGNC:7530],ENTREZGENE_ACC
7841,ENSG00000115275,MOGS,mannosyl-oligosaccharide glucosidase [Source:HGNC Symbol;Acc:HGNC:24862],ENTREZGENE_ACC
10905,ENSG00000198162,MAN1A2,mannosidase alpha class 1A member 2 [Source:HGNC Symbol;Acc:HGNC:6822],ENTREZGENE_ACC
4121,ENSG00000111885,MAN1A1,mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821],ENTREZGENE_ACC
57134,ENSG00000117643,MAN1C1,mannosidase alpha class 1C member 1 [Source:HGNC Symbol;Acc:HGNC:19080],ENTREZGENE_ACC
84693,ENSG00000124370,MCEE,methylmalonyl-CoA epimerase [Source:HGNC Symbol;Acc:HGNC:16732],ENTREZGENE_ACC
4594,ENSG00000146085,MMUT,methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526],ENTREZGENE_ACC
116255,ENSG00000124003,MOGAT1,monoacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:18210],ENTREZGENE_ACC
80168,ENSG00000166391,MOGAT2,monoacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:23248],ENTREZGENE_ACC
4507,ENSG00000099810,MTAP,methylthioadenosine phosphorylase [Source:HGNC Symbol;Acc:HGNC:7413],ENTREZGENE_ACC
441024,ENSG00000163738,MTHFD2L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like [Source:HGNC Symbol;Acc:HGNC:31865],ENTREZGENE_ACC
10797,ENSG00000065911,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]",ENTREZGENE_ACC
4524,ENSG00000177000,MTHFR,methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436],ENTREZGENE_ACC
56913,ENSG00000106392,C1GALT1,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24337]",ENTREZGENE_ACC
443,ENSG00000108381,ASPA,aspartoacylase [Source:HGNC Symbol;Acc:HGNC:756],ENTREZGENE_ACC
91703,ENSG00000132744,ACY3,aminoacylase 3 [Source:HGNC Symbol;Acc:HGNC:24104],ENTREZGENE_ACC
126328,ENSG00000174886,NDUFA11,NADH:ubiquinone oxidoreductase subunit A11 [Source:HGNC Symbol;Acc:HGNC:20371],ENTREZGENE_ACC
374291,ENSG00000115286,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714],ENTREZGENE_ACC
4535,ENSG00000198888,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455],ENTREZGENE_ACC
4536,ENSG00000198763,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456],ENTREZGENE_ACC
4537,ENSG00000198840,MT-ND3,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458],ENTREZGENE_ACC
4538,ENSG00000198886,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459],ENTREZGENE_ACC
4539,ENSG00000212907,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460],ENTREZGENE_ACC
4540,ENSG00000198786,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461],ENTREZGENE_ACC
4541,ENSG00000198695,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462],ENTREZGENE_ACC
4694,ENSG00000125356,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1 [Source:HGNC Symbol;Acc:HGNC:7683],ENTREZGENE_ACC
4695,ENSG00000131495,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2 [Source:HGNC Symbol;Acc:HGNC:7685],ENTREZGENE_ACC
4696,ENSG00000170906,NDUFA3,NADH:ubiquinone oxidoreductase subunit A3 [Source:HGNC Symbol;Acc:HGNC:7686],ENTREZGENE_ACC
4697,ENSG00000189043,NDUFA4,NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687],ENTREZGENE_ACC
4698,ENSG00000128609,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688],ENTREZGENE_ACC
4700,ENSG00000184983,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690],ENTREZGENE_ACC
4701,ENSG00000267855,NDUFA7,NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691],ENTREZGENE_ACC
4702,ENSG00000119421,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692],ENTREZGENE_ACC
4704,ENSG00000139180,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9 [Source:HGNC Symbol;Acc:HGNC:7693],ENTREZGENE_ACC
4705,ENSG00000130414,NDUFA10,NADH:ubiquinone oxidoreductase subunit A10 [Source:HGNC Symbol;Acc:HGNC:7684],ENTREZGENE_ACC
4706,ENSG00000004779,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694],ENTREZGENE_ACC
4707,ENSG00000183648,NDUFB1,NADH:ubiquinone oxidoreductase subunit B1 [Source:HGNC Symbol;Acc:HGNC:7695],ENTREZGENE_ACC
4708,ENSG00000090266,NDUFB2,NADH:ubiquinone oxidoreductase subunit B2 [Source:HGNC Symbol;Acc:HGNC:7697],ENTREZGENE_ACC
4709,ENSG00000119013,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698],ENTREZGENE_ACC
4710,ENSG00000065518,NDUFB4,NADH:ubiquinone oxidoreductase subunit B4 [Source:HGNC Symbol;Acc:HGNC:7699],ENTREZGENE_ACC
4711,ENSG00000136521,NDUFB5,NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700],ENTREZGENE_ACC
4712,ENSG00000165264,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6 [Source:HGNC Symbol;Acc:HGNC:7701],ENTREZGENE_ACC
4713,ENSG00000099795,NDUFB7,NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702],ENTREZGENE_ACC
4714,ENSG00000166136,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8 [Source:HGNC Symbol;Acc:HGNC:7703],ENTREZGENE_ACC
4715,ENSG00000147684,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9 [Source:HGNC Symbol;Acc:HGNC:7704],ENTREZGENE_ACC
4716,ENSG00000140990,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10 [Source:HGNC Symbol;Acc:HGNC:7696],ENTREZGENE_ACC
4717,ENSG00000109390,NDUFC1,NADH:ubiquinone oxidoreductase subunit C1 [Source:HGNC Symbol;Acc:HGNC:7705],ENTREZGENE_ACC
4718,ENSG00000151366,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706],ENTREZGENE_ACC
4719,ENSG00000023228,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707],ENTREZGENE_ACC
4720,ENSG00000158864,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708],ENTREZGENE_ACC
4722,ENSG00000213619,NDUFS3,NADH:ubiquinone oxidoreductase core subunit S3 [Source:HGNC Symbol;Acc:HGNC:7710],ENTREZGENE_ACC
4723,ENSG00000167792,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1 [Source:HGNC Symbol;Acc:HGNC:7716],ENTREZGENE_ACC
4724,ENSG00000164258,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4 [Source:HGNC Symbol;Acc:HGNC:7711],ENTREZGENE_ACC
4725,ENSG00000168653,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5 [Source:HGNC Symbol;Acc:HGNC:7712],ENTREZGENE_ACC
4726,ENSG00000145494,NDUFS6,NADH:ubiquinone oxidoreductase subunit S6 [Source:HGNC Symbol;Acc:HGNC:7713],ENTREZGENE_ACC
4728,ENSG00000110717,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8 [Source:HGNC Symbol;Acc:HGNC:7715],ENTREZGENE_ACC
4729,ENSG00000178127,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2 [Source:HGNC Symbol;Acc:HGNC:7717],ENTREZGENE_ACC
4731,ENSG00000160194,NDUFV3,NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719],ENTREZGENE_ACC
51079,ENSG00000186010,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13 [Source:HGNC Symbol;Acc:HGNC:17194],ENTREZGENE_ACC
54539,ENSG00000147123,NDUFB11,NADH:ubiquinone oxidoreductase subunit B11 [Source:HGNC Symbol;Acc:HGNC:20372],ENTREZGENE_ACC
55967,ENSG00000184752,NDUFA12,NADH:ubiquinone oxidoreductase subunit A12 [Source:HGNC Symbol;Acc:HGNC:23987],ENTREZGENE_ACC
7991,ENSG00000104723,TUSC3,tumor suppressor candidate 3 [Source:HGNC Symbol;Acc:HGNC:30242],ENTREZGENE_ACC
65220,ENSG00000008130,NADK,NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831],ENTREZGENE_ACC
55191,ENSG00000172890,NADSYN1,NAD synthetase 1 [Source:HGNC Symbol;Acc:HGNC:29832],ENTREZGENE_ACC
4668,ENSG00000198951,NAGA,alpha-N-acetylgalactosaminidase [Source:HGNC Symbol;Acc:HGNC:7631],ENTREZGENE_ACC
55748,ENSG00000133313,CNDP2,carnosine dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:24437],ENTREZGENE_ACC
84735,ENSG00000150656,CNDP1,carnosine dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:20675],ENTREZGENE_ACC
79077,ENSG00000179958,DCTPP1,dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777],ENTREZGENE_ACC
124583,ENSG00000171302,CANT1,calcium activated nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:19721],ENTREZGENE_ACC
957,ENSG00000187097,ENTPD5,ectonucleoside triphosphate diphosphohydrolase 5 (inactive) [Source:HGNC Symbol;Acc:HGNC:3367],ENTREZGENE_ACC
9583,ENSG00000197217,ENTPD4,ectonucleoside triphosphate diphosphohydrolase 4 [Source:HGNC Symbol;Acc:HGNC:14573],ENTREZGENE_ACC
29922,ENSG00000143156,NME7,NME/NM23 family member 7 [Source:HGNC Symbol;Acc:HGNC:20461],ENTREZGENE_ACC
4830,ENSG00000239672,NME1,NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849],ENTREZGENE_ACC
4831,ENSG00000243678,NME2,NME/NM23 nucleoside diphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:7850],ENTREZGENE_ACC
4832,ENSG00000103024,NME3,NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851],ENTREZGENE_ACC
349565,ENSG00000163864,NMNAT3,nicotinamide nucleotide adenylyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:20989],ENTREZGENE_ACC
64802,ENSG00000173614,NMNAT1,nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877],ENTREZGENE_ACC
23057,ENSG00000157064,NMNAT2,nicotinamide nucleotide adenylyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16789],ENTREZGENE_ACC
10135,ENSG00000105835,NAMPT,nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092],ENTREZGENE_ACC
4837,ENSG00000166741,NNMT,nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:7861],ENTREZGENE_ACC
5409,ENSG00000141744,PNMT,phenylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:9160],ENTREZGENE_ACC
4842,ENSG00000089250,NOS1,nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872],ENTREZGENE_ACC
4843,ENSG00000007171,NOS2,nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873],ENTREZGENE_ACC
4846,ENSG00000164867,NOS3,nitric oxide synthase 3 [Source:HGNC Symbol;Acc:HGNC:7876],ENTREZGENE_ACC
55808,ENSG00000070526,ST6GALNAC1,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23614]",ENTREZGENE_ACC
22978,ENSG00000076685,NT5C2,"5'-nucleotidase, cytosolic II [Source:HGNC Symbol;Acc:HGNC:8022]",ENTREZGENE_ACC
